title,price,direction,seller,expenses,warranty,,
"  Dpto,  de tres dormitorios Martn García al 300", $ 20.000 ,Martín García 200  Bº San Martin,San Roman Inversiones Inmobiliarias:, Expensas $1200 ,,,
" Alta Córdoba! Alquilo departamento tres dormitorios,  dos baños y balcón", $ 25.000 ,Cervantes 355,, Expensas $4100 ,,,
" CASA EN ALQUILER-PLANTA ALTA- TRES DORM- BARRIO PUEYRREDON C / TERRAZA,  E", $ 24.000 ,Juan Garay  Bº Pueyrredon,,,,,
 Se alquila dpto en complejo en Sol de mayo al 300, $ 27.500 ,Sol de Mayo  300  Bº Alto Alberdi,,"alquiler $27500.- con impuestos incluidos. agua $600, expensasa $7863.",,,
| BELGRANO 75|AMBIENTES LUMINOSOS - BALCON - LAVADERO -, $ 20.000 ,Belgrano 75  Bº Centro,Inmobiliaria Liprandi, Expensas $11500 ,,,
★★★((( EXCELENTE !!! )))★★★ 3 DORM. |ESTACIONAM. OPCIONAL |, $ 19.000 ,FELIX PAZ 196  Bº Alto Alberdi,, Expensas $3500 ,,,
3 dormitorios - Guemes, $ 13.200 ,Laprida 412,Petrel Asesoramiento Inmobiliario,expensas $7800 aprox,,,
ADMINISTRACIÓN DE PROPIEDADES, Consultar ,Av. Sabattini  1738  Bº Maipu Sección 1,Kinleiner Inmobiliaria,,,,
ALBERDI 27 DE ABRIL 1900 EXCELENTE EDIFICIO, $ 18.500 ,27 DE ABRIL 1900,Marcos Bertino, Expensas $5000 ,,,
ALBERDI- ZONA CENTRO -ALQUILER 3 DORMITORIOS, $ 26.000 ,Av Colón 1500  Bº Alberdi,DESCALZI & ORTEGA PROPIEDADES,precio del alquiler $26.000 mas expensas ( expensas + agua $6.000) ajuste anual s/ nueva ley . impuestos a cargo del propietario,,,
"Alberdi,  Colon al 1100,  3 dorm con placar,  cocina separada,  excelente estado", $ 17.000 ,Colon 1100  Bº Alberdi,,"a 30metros de colon sobre mendoza, 3 dormitorios, todos con placard, cocina separada muy amplia, balcon, en excelente estado, expensas $2900",,,
ALQ CASA Bº SAN VICENTE. E. UNIDOS 3557- 3D LIV C / COM PAT COCH $23.500, $ 23.500 ,Estados Unidos 3557  Bº San Vicente,Inmobiliaria Milanesio,,,,
"ALQ DPTO 3 DORM c COCH ZONA CHATEAU,  Seg,  esp verdes", $ 30.000 ,AV CARCANO 1005,, Expensas $7500 ,,,
Alquilada, $ 28.000 ,Pedro de Mesa  Bº Pque. Velez Sarsfield,R. GODOY PROPIEDADES,,,,
Alquiler - Dpto 3 Dormitorios - Alberdi - Neuquen al 100., $ 15.000 ,Neuquen 145  Bº Alto Alberdi,GRUPO GAUSS Bienes Raíces,,,,
Alquiler casa 3 dormitorios Barrio Escobar, $ 25.000 ,JOSE BARROS PAZOS 2887  Bº Escobar,Inmobiliaria Gastiazoro,,garantias: tres recibos de sueldo de $50000,,
ALQUILER CENTRO AMPLIO DEPARTAMENTO DE TRES DORMITORIOS, $ 25.000 ,av general paz 30  Bº Centro,, Expensas $7200 ,"requisitos: tres garantes con recibos de sueldo, preferentemente de córdoba, o una garantía propietaria y dos recibos de sueldos.",,
Alquiler Cofico Dpto. 3 dormitorios con Balcon , $ 23.000 ,Jerónimo luis de cabrera 529  Bº Cofico,Natalia Valdez servicios Inmobiliarios, Expensas $2200 ,"requisitos para garantias: 1 propiedad mas 2 recibo de sueldo. o 4 recibos de sueldo mayores a $45000,con buena antiguedad. no se aceptan mascotas.",,
ALQUILER DEPARTAMENTO 3 DORMITORIOS BV. ILIA NUEVA CORDOBA, $ 24.800 ,Bv. Ilia 200  Bº Nueva Córdoba,SOYS Inmobiliaria, Expensas $16000 ,,,
ALQUILER DEPARTAMENTO 3 DORMITORIOS OPCION COCHERA, $ 18.000 ,Libertad 2200  Bº Centro,"Facundo Aguad ""Bienes Raíces""",,,,
ALQUILER DEPARTAMENTO CENTRO , $ 25.000 ,9 de julio 635  Bº Centro,CMi Inmobiliaria,alquiler: $25.000 más expensas $5800,garantias: dos garantías personales y una garantía propietaria. todos de provincia de cordoba,,
"Alquiler departamento de tres dormitorios ,  Nueva Cordoba", $ 20.000 ,INDEPENDENCIA 461  Bº Nueva Córdoba,Di Giacomo Inmuebles, Expensas $5000 ,garantias : cuatro con recibo de sueldo,,
ALQUILER DEPARTAMENTO TRES DORMITORIOS - B° CENTRO, $ 23.000 ,La Rioja 238  Bº Centro,Siciliano Escobar Gestión Inmobiliaria,- expensas bajas.,,,
ALQUILER DEPTO 3 DORM C / PATIO Bº LAS MARGARITAS, $ 20.700 ,Roberto Viola 2823,Viva Berritella,precio: $20expensas incluidas),,,
Alquiler Depto 3 Dorm. - Pleno Centro! Colon y Gral Paz, $ 19.000 ,Av. Gral. Paz 186  Bº Centro,Cubica Gestion Inmobiliaria, Expensas $6500 ,,,
ALQUILER DEPTO Bº PUEYRREDON-COCHABAMBA 1655 P.A.-3D LIV C / COM PATIO $21500, $ 21.500 ,Cochabamba 1655  Bº Pueyrredon,Inmobiliaria Milanesio,"alquilo departamento en planta alta en bº pueyrredón calle cochabamba 1655 a dos cuadras de calle roma y a una cuadra de calle padre luis monti. próximo a colegios robles obispo caixal sagrada familia y sagrado corazón. posee tres dormitorios-dos con un placar cada uno- living amplio cocina comedor con amoblamientos baño completo patio con lavadero semi cubierto cochera propia y exclusiva. servicios de luz agua gas natural y colectivos a 100mts. apto hasta 4 personas, sin mascotas. valor alquiler $21.500 finales. no paga expensas. consultas y visita al te fijo: y whatsapp al de lunes a viernes de 9 a 13 y de 15.30a 18hs. inmobiliaria milanesio.",,,
Alquiler dpto 3 dorm Alta Cordoba, $ 24.000 ,Sta Fe 2180  Bº Alta Córdoba,ACEBEY,,,,
ALQUILER DPTO 3 DORM. NUEVA CORDOBA, $ 30.000 ,PUEYRREDON  11  Bº Nueva Córdoba,Grupo Tres Bases,alquiler: $30.000, expensas: $13.915, aguas: $1100.,requisitos: 1 garantia propietaria y 2 de sueldo.
ALQUILER EN NUEVA CORDOBA, $ 25.000 ,Balcarce 400  Bº Nueva Córdoba,Cappa Negocios Inmobiliarios, Expensas $$3600 aprox. ,,,
ALQUILER EXCELENTE DEPTO 3 DORM + DEP MTS PLAZA ESPAÑA - PLENO NUEVA CÓRDOBA, $ 30.000 ,AMBROSIO OLMOS  500  Bº Nueva Córdoba,GRUPO NORTE,,,,
Alquiler General Paz!! 3 dormitorios!!, $ 24.000 ,Bv Ocampo 300  Bº General Paz,La Casa Agency, Expensas $5000 ,,,
Alquiler Güemes Departamento Equipado 3 Dormitorios, $ 25.000 ,Belgrano 1103  Bº Guemes,Daniel Nievas Inmobiliaria,,,,
Alquiler Malvinas 1695 Dpto 3 dormitorios, $ 13.000 ,Malvinas 1695  Bº Talleres Este,Corporación inmobiliaria,,,,
Alquiler Temporal Country Lomas de La Carolina-4 Dormitorios, $ 100 ,Av Ejercito Argentino 100  Bº Lomas de la Carolina,,"precio: incluye  expensas, impuestos,  jardinero, piletero, internet wifi, servicios de luz eléctrica, agua corriente y gas natural  .",,,
Alquiler Temporal Mensual Country Lomas de La Carolina-3 Dormitorios, $ 100 ,Av Ejercito Argentino 100  Bº Lomas de la Carolina,,precio mensual mas expensas y servicios.,,,
"ALQUILER TRES DORMITORIOS,  EXELENTE OPORTUNIDAD!!!!", $ 22.900 ,INDEPENDENCIA 461  Bº Nueva Córdoba,, Expensas $7950 ,,,
"ALQUILER VA. CABRERA  / Italia 3dor,  Patio y cochera ", $ 27.000 ,italia 2088  Bº Villa Cabrera,PLATINUS BIENES RAICES,no abona expensas!!,requisitos de garantia:,,
ALQUILER VALLE CERCANO Bo c / VIGILANCIA Dúplex 2 Dor 2 Bañ - no paga EXPENSAS , $ 22.000 ,Cottolengo 600  Bº Valle Cercano,,no se paga expensas.,,,
ALQUILO - DEPTO 3 DOR / SIN EXPENSAS - Bº ALTOS GRAL PAZ - PJE MANUEL VERGARA 719, $ 14.000 ,Pje. Manuel Vergara 719,LATELLA FRIAS,"- no paga expensas, impuestos incluidos en alquiler",,,
ALQUILO - GRAN DPTO ALTA CORDOBA , $ 22.000 ,isabela catolica,IVG INVERSIONES INMOBILIARIAS, Expensas $minimas ,requisitos minimos: dos garantes con recibos de sueldo o garantia propietaria,,
ALQUILO - SEMI PISO - Bº NVA CBA - 3DOR  /  3 BAÑOS - INDEPENDENCIA 696 , $ 26.000 ,Independencia  696  Bº Nueva Córdoba,LATELLA FRIAS,expensas: $9.800,,,
ALQUILO 3 Dorm. - Todos los servicios - Seguridad, $ 21.000 ,Av Ramon J Carcano  1000  Bº Chateau Carreras,ABBONDIO y FERRERO  Bienes Raices, Expensas $7800 ,,,
ALQUILO AMPLIO DPTO. 3 DORM + BALCON + COCHERA- CHACABUCO AL 100 , $ 29.000 ,CHACABUCO  147  Bº Centro,Caibare, Expensas $7000 ,,,
ALQUILO CASA 3 DORMITORIOS B° ITUZAINGO, Consultar ,GUAYACANES 6538  Bº Los Sauces,,,,,
Alquilo casa 3d - Altamira - Para Febrero, $ 22.000 ,lopez y planes  4100  Bº Altamira,Ansa Propiedades,,se pide 3 recibos de sueldo como garantias.,,
Alquilo casa en San Ignacio, $ 9.000 ,juncadillo  Bº San Ignacio,Luis Damian Lopez,,,,
Alquilo casa preferentemente comercial o habitacional., $ 17.500 ,Av kelvin 5364  Bº Ituzaingo,,,,,
Alquilo departamento 3 Dorm Las Palmas - Complejo cerrado, $ 22.000 ,Pedro Isnardi 4250  Bº Las Palmas,,"las expensas incluyen, agua, municipalidad y rentas",,,
ALQUILO DEPARTAMENTO B° TALLERES OESTE, $ 18.500 ,TISSERA 1697  Bº Talleres Oeste,LUIS ALONSO NEGOCIOS INMOBILIARIOS,,,,
ALQUILO DEPARTAMENTO DE 3 DORMITORIOS ENORME Y LUMINOSO CON COCHERA, $ 25.000 ,AVENIDA COLON 700  Bº Centro,SERGIO CACERES BIENES RAICES, Expensas $22.500 ,,,
ALQUILO DEPARTAMENTO en PB - 3 Dormitorios - Bº Pueyrredón, $ 20.000 ,Buchardo  1096  Bº Pueyrredon,Inmobiliario Ignacio Muela, Expensas $no paga expensas ,,,
ALQUILO DEPTO , $ 20.000 ,Monseñor Pablo  cabrera 1927  Bº Alt. de San Martín,Claudia Tosco, Expensas $$4000 ,,,
